episode,run,method,throughput,avg_option_duration,npca_switch_ratio,avg_loss,epsilon
0,2,drl_npca,4394,122.33870967741936,0.5161290322580645,0.0,0.9
1,2,drl_npca,4139,122.7936507936508,0.47619047619047616,0.0,0.8489004537724256
2,2,drl_npca,3894,131.81666666666666,0.36666666666666664,0.0005782452838805815,0.8001223671969062
3,2,drl_npca,4785,126.89090909090909,0.4,0.0004046689330910643,0.7564386412743068
4,2,drl_npca,4119,130.82758620689654,0.4482758620689655,0.0002659117550744365,0.7186336819065705
5,2,drl_npca,5050,111.84482758620689,0.5,0.0001683990121819079,0.6809561387856082
6,2,drl_npca,4313,140.33333333333334,0.5686274509803921,0.00014700280250205347,0.6454017271999646
7,2,drl_npca,4175,135.80357142857142,0.6071428571428571,0.00018033298450366905,0.6157975617562931
8,2,drl_npca,4916,111.95161290322581,0.5806451612903226,0.0001988990067426736,0.5849837376319384
9,2,drl_npca,4654,107.53623188405797,0.6811594202898551,0.00017258247438197336,0.5528220597117929
10,2,drl_npca,4521,125.30508474576271,0.559322033898305,0.00016532136457196125,0.519297243660891
11,2,drl_npca,4386,114.0,0.5454545454545454,0.00018104043556377292,0.4924096883458907
12,2,drl_npca,4533,131.27272727272728,0.43636363636363634,0.00015221379483894756,0.46415336392222445
13,2,drl_npca,4620,134.28846153846155,0.4807692307692308,0.00015082461565422514,0.44199000792735965
14,2,drl_npca,4764,113.515625,0.421875,0.0001536864050043126,0.42212743003941566
15,2,drl_npca,5166,110.0701754385965,0.5087719298245614,0.00013087092277904352,0.3990573898394937
16,2,drl_npca,4343,136.55555555555554,0.37037037037037035,0.00012238351094614094,0.37971754031094423
17,2,drl_npca,4820,139.89361702127658,0.48936170212765956,0.0001338263440023487,0.36238498376738953
18,2,drl_npca,4356,130.94736842105263,0.6842105263157895,0.00015358000625080118,0.34804257620893897
19,2,drl_npca,5122,110.59322033898304,0.5084745762711864,0.0001123520196415484,0.33152924990568383
20,2,drl_npca,4440,138.6346153846154,0.4807692307692308,0.0001267585733633799,0.31539952960180895
21,2,drl_npca,3897,132.2,0.5166666666666667,0.000131333275930956,0.3019514346975212
22,2,drl_npca,4942,121.24528301886792,0.5471698113207547,0.0001203918630684105,0.28727892538379335
23,2,drl_npca,4884,122.9090909090909,0.36363636363636365,0.00011817602353403345,0.2750305902172683
24,2,drl_npca,4298,124.05084745762711,0.6610169491525424,0.00011774086548636357,0.262988111475851
25,2,drl_npca,4884,135.0,0.46808510638297873,0.0001273335340859679,0.2507853344382716
26,2,drl_npca,4441,131.12727272727273,0.5272727272727272,0.00011772131256293505,0.2415667572085229
27,2,drl_npca,4130,135.0701754385965,0.47368421052631576,0.0001404403301421553,0.23131509053947796
28,2,drl_npca,4915,129.98,0.46,0.0001273842766143692,0.22126915921024504
29,2,drl_npca,3822,137.79661016949152,0.559322033898305,0.00011483517300803214,0.2129162637502826
30,2,drl_npca,4748,130.7,0.36,0.0001387973413026581,0.2035822646431748
31,2,drl_npca,4165,134.63636363636363,0.38181818181818183,0.0001279342444225525,0.19609196921004357
32,2,drl_npca,4261,134.98181818181817,0.36363636363636365,0.00011737204962021981,0.18827387909258386
33,2,drl_npca,4264,138.9814814814815,0.35185185185185186,0.0001444055863733714,0.1808741729110464
34,2,drl_npca,4239,129.45762711864407,0.5084745762711864,0.00012141033948864788,0.17399439332779326
