episode,scenario,method,run,intent,throughput,avg_option_duration,npca_switch_ratio,avg_loss,epsilon
0,free_npca,throughput_hungry,0,"파일 다운로드, 속도 최대화",3510,190.3,0.55,0.0,0.9
1,free_npca,throughput_hungry,0,"파일 다운로드, 속도 최대화",3674,148.96296296296296,0.4444444444444444,0.0,0.8666710232794748
2,free_npca,throughput_hungry,0,"파일 다운로드, 속도 최대화",3113,188.6888888888889,0.35555555555555557,0.00917356057713429,0.823740347904652
3,free_npca,throughput_hungry,0,"파일 다운로드, 속도 최대화",3466,159.1509433962264,0.32075471698113206,0.007264757218460242,0.7896938241895138
4,free_npca,throughput_hungry,0,"파일 다운로드, 속도 최대화",3871,160.55102040816325,0.3877551020408163,0.007348761583367984,0.75151083821793
5,free_npca,throughput_hungry,0,"파일 다운로드, 속도 최대화",2922,199.32558139534885,0.3488372093023256,0.005937717234094937,0.7179653824300938
6,free_npca,throughput_hungry,0,"파일 다운로드, 속도 최대화",3993,175.88095238095238,0.30952380952380953,0.004813825711607933,0.6898516480002669
7,free_npca,throughput_hungry,0,"파일 다운로드, 속도 최대화",3475,160.8235294117647,0.27450980392156865,0.004902430499593417,0.6635344093169585
8,free_npca,throughput_hungry,0,"파일 다운로드, 속도 최대화",3346,185.6818181818182,0.38636363636363635,0.004146272161354621,0.6330286628116172
9,free_npca,throughput_hungry,0,"파일 다운로드, 속도 최대화",3689,169.26666666666668,0.2222222222222222,0.0038712918758392334,0.6079315861977955
10,free_npca,throughput_hungry,0,"파일 다운로드, 속도 최대화",3755,160.85714285714286,0.30612244897959184,0.0034556182411809764,0.5833811914402396
11,free_npca,throughput_hungry,0,"파일 다운로드, 속도 최대화",4422,176.92307692307693,0.2564102564102564,0.0031507209253807864,0.5578755054255019
12,free_npca,throughput_hungry,0,"파일 다운로드, 속도 최대화",3787,206.02777777777777,0.3055555555555556,0.0025466668885201216,0.5384496275010459
13,free_npca,throughput_hungry,0,"파일 다운로드, 속도 최대화",3564,183.9090909090909,0.22727272727272727,0.002175389633824428,0.521178192024331
14,free_npca,throughput_hungry,0,"파일 다운로드, 속도 최대화",3303,198.38095238095238,0.23809523809523808,0.0017977675888687372,0.5008958355326787
15,free_npca,throughput_hungry,0,"파일 다운로드, 속도 최대화",3168,193.77272727272728,0.25,0.0016596205920601885,0.4823503908782666
16,free_npca,throughput_hungry,0,"파일 다운로드, 속도 최대화",3531,175.38297872340425,0.23404255319148937,0.0015460771198074024,0.4637394175659759
17,free_npca,throughput_hungry,0,"파일 다운로드, 속도 최대화",3333,176.53191489361703,0.2553191489361702,0.0011736312105009954,0.4447435641860778
18,free_npca,throughput_hungry,0,"파일 다운로드, 속도 최대화",3221,186.2888888888889,0.28888888888888886,0.0010515547861965995,0.42661985986984263
19,free_npca,throughput_hungry,0,"파일 다운로드, 속도 최대화",3984,165.5744680851064,0.1276595744680851,0.0008538941231866678,0.4100476376439045
20,free_npca,throughput_hungry,0,"파일 다운로드, 속도 최대화",3036,187.82978723404256,0.1702127659574468,0.0007375296166477104,0.39351691360823376
21,free_npca,throughput_hungry,0,"파일 다운로드, 속도 최대화",3894,176.41860465116278,0.18604651162790697,0.00053179125340345,0.3777451581327561
22,free_npca,throughput_hungry,0,"파일 다운로드, 속도 최대화",3722,200.6578947368421,0.05263157894736842,0.0005027595616411418,0.3639508200146872
23,free_npca,throughput_hungry,0,"파일 다운로드, 속도 최대화",3531,177.48888888888888,0.17777777777777778,0.0003501696919556707,0.3522445172315432
24,free_npca,throughput_hungry,0,"파일 다운로드, 속도 최대화",2995,192.0,0.15555555555555556,0.0003508148656692356,0.33894499737121625
25,free_npca,throughput_hungry,0,"파일 다운로드, 속도 최대화",3070,199.02325581395348,0.09302325581395349,0.00034492530782396596,0.32623068987515436
26,free_npca,throughput_hungry,0,"파일 다운로드, 속도 최대화",3404,166.42,0.16,0.00021523944451473653,0.31460452411748396
27,free_npca,throughput_hungry,0,"파일 다운로드, 속도 최대화",3069,207.7560975609756,0.0975609756097561,0.00020651137553310642,0.3016996091965596
