episode,scenario,method,run,intent,throughput,avg_option_duration,npca_switch_ratio,avg_loss,epsilon
0,free_npca,balanced,2,일반 웹 서핑,3056,160.35185185185185,0.6111111111111112,0.0,0.9
1,free_npca,balanced,2,일반 웹 서핑,4362,143.09803921568627,0.5294117647058824,0.0,0.8553172905265286
2,free_npca,balanced,2,일반 웹 서핑,4017,165.0,0.4222222222222222,0.004213293393452962,0.8152758441983258
3,free_npca,balanced,2,일반 웹 서핑,3518,201.83783783783784,0.40540540540540543,0.003484670383234819,0.7816017799612992
4,free_npca,balanced,2,일반 웹 서핑,3300,175.25531914893617,0.2553191489361702,0.0030189796816557646,0.7550271759275934
5,free_npca,balanced,2,일반 웹 서핑,2925,194.04444444444445,0.3333333333333333,0.002334422509496411,0.7226575435112463
6,free_npca,balanced,2,일반 웹 서핑,3648,152.82692307692307,0.4230769230769231,0.0018889920708412926,0.6930589177327903
7,free_npca,balanced,2,일반 웹 서핑,3564,170.1875,0.25,0.0014861388675247629,0.6604743936844848
8,free_npca,balanced,2,일반 웹 서핑,2620,205.0681818181818,0.2727272727272727,0.0011837860802188516,0.6318637707663365
9,free_npca,balanced,2,일반 웹 서핑,3600,177.55555555555554,0.24444444444444444,0.000881245534401387,0.6068168381450354
10,free_npca,balanced,2,일반 웹 서핑,3999,144.03773584905662,0.2641509433962264,0.0007701151383419832,0.5823154951089226
11,free_npca,balanced,2,일반 웹 서핑,4295,176.23076923076923,0.20512820512820512,0.0006815958768129349,0.5548373758959207
12,free_npca,balanced,2,일반 웹 서핑,3606,162.86,0.24,0.000494841942175602,0.5355277042714927
13,free_npca,balanced,2,일반 웹 서핑,2981,194.93333333333334,0.28888888888888886,0.00036233215359970927,0.5118482387133249
14,free_npca,balanced,2,일반 웹 서핑,3671,163.79591836734693,0.24489795918367346,0.0002708101043632875,0.49152575319899094
15,free_npca,balanced,2,일반 웹 서핑,3659,181.11363636363637,0.20454545454545456,0.0002023749160192286,0.47041249047199846
16,free_npca,balanced,2,일반 웹 서핑,3366,182.75555555555556,0.26666666666666666,0.00017578180025642118,0.4523153965282784
17,free_npca,balanced,2,일반 웹 서핑,2874,220.97435897435898,0.20512820512820512,0.00014074662370452037,0.4346125059837192
