part,tier,W,ppdu_duration,W_avail,K,num_stas,npca_qsrc,npca_cw,seed,collision_probability_npca,aggregate_throughput,mean_access_delay,npca_transition_count,avg_tx_per_visit
1,,50,20,30,1.5,30,0,15,42,0.8681462140992167,131,406.59541984732823,1410,0.5432624113475177
1,,50,20,30,1.5,30,1,31,42,0.5752895752895753,139,673.8345323741007,1470,0.1761904761904762
1,,50,20,30,1.5,30,2,63,42,0.3219178082191781,142,700.556338028169,1407,0.10376687988628287
1,,50,20,30,1.5,30,3,127,42,0.13,122,728.5737704918033,932,0.1072961373390558
1,,170,20,150,7.5,30,0,15,42,0.8676880222841226,114,445.13157894736844,390,1.841025641025641
1,,170,20,150,7.5,30,1,31,42,0.6930091185410334,127,614.4094488188977,420,0.7833333333333333
1,,170,20,150,7.5,30,2,63,42,0.4634146341463415,131,760.9618320610687,360,0.45555555555555555
1,,170,20,150,7.5,30,3,127,42,0.2595419847328244,124,764.3306451612904,450,0.2911111111111111
1,,420,20,400,20.0,30,0,15,42,0.7923250564334086,118,419.8050847457627,150,2.953333333333333
1,,420,20,400,20.0,30,1,31,42,0.6463414634146342,119,591.6386554621848,120,1.3666666666666667
1,,420,20,400,20.0,30,2,63,42,0.45294117647058824,122,765.0737704918033,150,1.1333333333333333
1,,420,20,400,20.0,30,3,127,42,0.16666666666666666,110,789.1454545454545,120,0.65
2,B,170,20,150,7.5,30,0,15,42,0.8676880222841226,114,445.13157894736844,390,1.841025641025641
2,B,170,20,150,7.5,30,1,31,42,0.6930091185410334,127,614.4094488188977,420,0.7833333333333333
2,B,170,20,150,7.5,30,2,63,42,0.4634146341463415,131,760.9618320610687,360,0.45555555555555555
2,B,170,20,150,7.5,30,3,127,42,0.2595419847328244,124,764.3306451612904,450,0.2911111111111111
2,B,170,20,150,7.5,30,4,255,42,0.16981132075471697,108,769.0925925925926,450,0.23555555555555555
2,B,170,20,150,7.5,30,5,511,42,0.0,74,1067.7297297297298,119,0.21008403361344538
2,B,200,50,150,3.0,30,0,15,42,0.8863636363636364,49,795.734693877551,300,1.1733333333333333
2,B,200,50,150,3.0,30,1,31,42,0.5609756097560976,55,943.4909090909091,300,0.2733333333333333
2,B,200,50,150,3.0,30,2,63,42,0.4166666666666667,58,1237.344827586207,330,0.21818181818181817
2,B,200,50,150,3.0,30,3,127,42,0.21311475409836064,56,1123.1964285714287,389,0.15681233933161953
2,B,200,50,150,3.0,30,4,255,42,0.0,50,1021.66,240,0.1125
2,B,200,50,150,3.0,30,5,511,42,0.0,40,1548.1,88,0.18181818181818182
2,C,420,20,400,20.0,30,0,15,42,0.7923250564334086,118,419.8050847457627,150,2.953333333333333
2,C,420,20,400,20.0,30,1,31,42,0.6463414634146342,119,591.6386554621848,120,1.3666666666666667
2,C,420,20,400,20.0,30,2,63,42,0.45294117647058824,122,765.0737704918033,150,1.1333333333333333
2,C,420,20,400,20.0,30,3,127,42,0.16666666666666666,110,789.1454545454545,120,0.65
2,C,420,20,400,20.0,30,4,255,42,0.09836065573770492,105,607.4571428571429,120,0.5083333333333333
2,C,420,20,400,20.0,30,5,511,42,0.0784313725490196,98,736.0612244897959,120,0.425
2,C,450,50,400,8.0,30,0,15,42,0.8095238095238095,53,1091.9056603773586,120,1.575
2,C,450,50,400,8.0,30,1,31,42,0.6486486486486487,48,1296.7708333333333,150,0.74
2,C,450,50,400,8.0,30,2,63,42,0.36619718309859156,53,1587.8490566037735,150,0.47333333333333333
2,C,450,50,400,8.0,30,3,127,42,0.15625,44,1001.4545454545455,120,0.26666666666666666
2,C,450,50,400,8.0,30,4,255,42,0.2,48,1235.8541666666667,120,0.25
2,C,450,50,400,8.0,30,5,511,42,0.05405405405405406,55,1403.8909090909092,150,0.24666666666666667
2,C,480,80,400,5.0,30,0,15,42,0.88,30,1136.1666666666667,150,1.6666666666666667
2,C,480,80,400,5.0,30,1,31,42,0.5416666666666666,28,1605.2142857142858,120,0.4
2,C,480,80,400,5.0,30,2,63,42,0.1724137931034483,29,1739.5862068965516,120,0.24166666666666667
2,C,480,80,400,5.0,30,3,127,42,0.14285714285714285,29,1831.551724137931,120,0.23333333333333334
2,C,480,80,400,5.0,30,4,255,42,0.18181818181818182,35,1291,150,0.22
2,C,480,80,400,5.0,30,5,511,42,0.0,33,1419.3636363636363,150,0.17333333333333334
