episode,scenario,method,run,intent,throughput,avg_option_duration,npca_switch_ratio,avg_loss,epsilon
0,congested_npca,throughput_hungry,1,"파일 다운로드, 속도 최대화",2927,193.2340425531915,0.40425531914893614,0.0,0.9
1,congested_npca,throughput_hungry,1,"파일 다운로드, 속도 최대화",2626,180.4313725490196,0.6666666666666666,0.0,0.8609742879518154
2,congested_npca,throughput_hungry,1,"파일 다운로드, 속도 최대화",3051,177.7,0.64,0.0033644715634485087,0.8206515681908328
3,congested_npca,throughput_hungry,1,"파일 다운로드, 속도 최대화",2542,168.45454545454547,0.6363636363636364,0.002752664110933741,0.7830664477007387
4,congested_npca,throughput_hungry,1,"파일 다운로드, 속도 최대화",2531,180.0943396226415,0.6226415094339622,0.002231969886148969,0.7438365052117685
5,congested_npca,throughput_hungry,1,"파일 다운로드, 속도 최대화",2440,200.7608695652174,0.5652173913043478,0.0017219356959685683,0.7080206734734111
6,congested_npca,throughput_hungry,1,"파일 다운로드, 속도 최대화",3062,167.75925925925927,0.7222222222222222,0.0015445050861065586,0.6784373551561022
7,congested_npca,throughput_hungry,1,"파일 다운로드, 속도 최대화",2409,196.60416666666666,0.7291666666666666,0.0011241520987823606,0.6454017271999646
8,congested_npca,throughput_hungry,1,"파일 다운로드, 속도 최대화",2427,175.1320754716981,0.7547169811320755,0.0008398909509802858,0.6174975030785896
9,congested_npca,throughput_hungry,1,"파일 다운로드, 속도 최대화",2808,172.25925925925927,0.5925925925925926,0.0006603631967057785,0.5882032890533458
10,congested_npca,throughput_hungry,1,"파일 다운로드, 속도 최대화",3106,146.65,0.7833333333333333,0.0004983632437263926,0.5599110758740077
11,congested_npca,throughput_hungry,1,"파일 다운로드, 속도 최대화",2173,169.67241379310346,0.7413793103448276,0.0003921284611957769,0.5302161665399273
12,congested_npca,throughput_hungry,1,"파일 다운로드, 속도 최대화",2478,180.55769230769232,0.6923076923076923,0.00026340779731981456,0.5031559603137032
13,congested_npca,throughput_hungry,1,"파일 다운로드, 속도 최대화",2824,151.96666666666667,0.8,0.00021077889444616935,0.48019403430770935
14,congested_npca,throughput_hungry,1,"파일 다운로드, 속도 최대화",2242,185.09615384615384,0.75,0.0001961556311774378,0.4551414840705262
15,congested_npca,throughput_hungry,1,"파일 다운로드, 속도 최대화",2433,175.03703703703704,0.6666666666666666,0.00018899191248541078,0.4346125059837192
16,congested_npca,throughput_hungry,1,"파일 다운로드, 속도 최대화",2672,173.2962962962963,0.6296296296296297,0.0001549224640863637,0.41439423673109066
17,congested_npca,throughput_hungry,1,"파일 다운로드, 속도 최대화",2444,194.70833333333334,0.5,0.00013362349515470365,0.3952387993032521
18,congested_npca,throughput_hungry,1,"파일 다운로드, 속도 최대화",2295,191.18,0.52,0.00012223541610486185,0.3790587642259993
19,congested_npca,throughput_hungry,1,"파일 다운로드, 속도 최대화",2168,200.25,0.4791666666666667,0.0001463569060433656,0.3630103789216135
20,congested_npca,throughput_hungry,1,"파일 다운로드, 속도 최대화",2240,201.02083333333334,0.4375,0.00014930739416740835,0.3483407678561222
