episode,group,run,obss_duration,throughput,avg_option_duration,reward,avg_loss,epsilon,npca_ratio,throughput_weight,latency_penalty,npca_switch_bonus,npca_switch_cost,qos_priority
0,fixed_drl,0,20-200,10856,391.32142857142856,1755.1499999999999,0.0,0.9,0.5357142857142857,,,,,
1,fixed_drl,0,20-200,11019,413.0,1455.5500000000002,0.0,0.8765301117810599,0.42424242424242425,,,,,
2,fixed_drl,0,20-200,11053,365.62068965517244,1497.85,0.0,0.8496997538096083,0.6551724137931034,,,,,
3,fixed_drl,0,20-200,10568,336.2857142857143,3605.3999999999996,0.00046307110460475087,0.826841507480544,0.5357142857142857,,,,,
4,fixed_drl,0,20-200,11507,449.0,2027.8500000000001,0.00034768251740994555,0.7845340477069465,0.6296296296296297,,,,,
5,fixed_drl,0,20-200,11721,371.68,1925.4,0.00025159470290721703,0.7649669726179298,0.64,,,,,
6,fixed_drl,0,20-200,10361,412.3529411764706,2014.0,0.00020134952501393855,0.7473143751671564,0.4117647058823529,,,,,
7,fixed_drl,0,20-200,10319,352.0769230769231,3475.6000000000004,0.0001813147731202965,0.7240042048106812,0.6153846153846154,,,,,
8,fixed_drl,0,20-200,10471,447.85,2746.3,0.00016363680576129505,0.6898516480002669,0.45,,,,,
9,fixed_drl,0,20-200,11412,406.6111111111111,3132.1,0.0001546223599386091,0.664762706022866,0.4444444444444444,,,,,
10,fixed_drl,0,20-200,10584,441.53846153846155,3152.0,0.0001479751905814434,0.6430248771603764,0.38461538461538464,,,,,
11,fixed_drl,0,20-200,8554,468.5660377358491,3613.3,0.00014583271210237095,0.620342096150429,0.33962264150943394,,,,,
12,fixed_drl,0,20-200,10568,449.6764705882353,2023.5499999999997,0.00014589322866716733,0.5909010442663241,0.20588235294117646,,,,,
13,fixed_drl,0,20-200,9337,419.1818181818182,3331.2499999999995,0.00015845296487289792,0.5728195362164994,0.38181818181818183,,,,,
14,fixed_drl,0,20-200,10379,427.2162162162162,1867.6499999999996,0.00014512343235158673,0.5448409260888453,0.35135135135135137,,,,,
15,fixed_drl,0,20-200,10498,491.7435897435897,3077.1000000000004,0.0001430756237823516,0.526866391265845,0.41025641025641024,,,,,
16,fixed_drl,0,20-200,10432,494.05882352941177,2712.1,0.00013293100346345454,0.5086265899679951,0.35294117647058826,,,,,
17,fixed_drl,0,20-200,9864,461.47727272727275,3133.75,0.0001207833217146496,0.4932953931321339,0.4772727272727273,,,,,
18,fixed_drl,0,20-200,8462,387.0,3924.5999999999995,0.0001425073811939607,0.4742132807873656,0.390625,,,,,
19,fixed_drl,0,20-200,8859,514.26,1986.3500000000001,0.0001419240579707548,0.44791417824588203,0.58,,,,,
20,fixed_drl,0,20-200,11128,448.0,1454.4,0.000136900149906675,0.4285076747735049,0.3333333333333333,,,,,
21,fixed_drl,0,20-200,10575,431.54285714285714,2556.8,0.00013946777956637865,0.41953163391506715,0.5142857142857142,,,,,
22,fixed_drl,0,20-200,10248,397.0857142857143,2434.1000000000004,0.00012582134028586248,0.4068217471868971,0.4,,,,,
23,fixed_drl,0,20-200,8781,454.77358490566036,2883.8499999999995,0.00012847907055402175,0.3945490117221559,0.32075471698113206,,,,,
24,fixed_drl,0,20-200,10742,424.24242424242425,2442.0,0.00013208826809811094,0.3767633960378218,0.45454545454545453,,,,,
25,fixed_drl,0,20-200,10388,384.80434782608694,2702.95,0.0001309811050305143,0.3661561855288545,0.5,,,,,
26,fixed_drl,0,20-200,11161,338.64,3026.4,0.00012276978425992033,0.35194242378620877,0.44,,,,,
27,fixed_drl,0,20-200,10219,416.4791666666667,3101.4500000000003,0.00010779735506124173,0.33721651801050606,0.5,,,,,
28,fixed_drl,0,20-200,9629,444.1304347826087,3483.5,0.00012732998584397137,0.323755767522568,0.43478260869565216,,,,,
29,fixed_drl,0,20-200,9172,423.33846153846156,4039.1499999999996,0.00012953198893228546,0.3114482453757784,0.4461538461538462,,,,,
30,fixed_drl,0,20-200,9062,471.0980392156863,3668.7,0.00012056217625892411,0.2949946440987537,0.3137254901960784,,,,,
31,fixed_drl,0,20-200,11581,407.5625,2827.9,0.00012314704266221574,0.2828131846817287,0.4375,,,,,
32,fixed_drl,0,20-200,10153,422.9655172413793,1193.7,0.00012292273459024727,0.2754811017590741,0.4827586206896552,,,,,
33,fixed_drl,0,20-200,10045,426.1034482758621,4052.2999999999997,0.00010705629392759874,0.26903605467483444,0.46551724137931033,,,,,
34,fixed_drl,0,20-200,10314,395.61290322580646,1914.7999999999997,0.00011044525793598343,0.2566933614806713,0.45161290322580644,,,,,
35,fixed_drl,0,20-200,10667,407.875,2016.5500000000002,0.00011451698568028708,0.250384165072484,0.5,,,,,
36,fixed_drl,0,20-200,10480,459.70588235294116,2134.5,0.0001186237908162487,0.24563219682203608,0.47058823529411764,,,,,
37,fixed_drl,0,20-200,9742,393.0408163265306,2752.0499999999997,0.00011673036351567134,0.2390925068378163,0.40816326530612246,,,,,
38,fixed_drl,0,20-200,10368,548.9354838709677,2196.15,0.00011203589626044656,0.23005031677835414,0.41935483870967744,,,,,
39,fixed_drl,0,20-200,11097,514.6551724137931,2354.7500000000005,0.0001086855797135892,0.22455438404121492,0.27586206896551724,,,,,
40,fixed_drl,0,20-200,10154,415.6458333333333,3695.4500000000007,0.00012473624277239045,0.21956500260246292,0.3333333333333333,,,,,
41,fixed_drl,0,20-200,9995,409.875,3326.3000000000006,0.0001020585647590148,0.21161813308629246,0.375,,,,,
42,fixed_drl,0,20-200,10985,411.7083333333333,1459.9499999999998,9.924323239829391e-05,0.20404370324893412,0.16666666666666666,,,,,
43,fixed_drl,0,20-200,9695,484.2962962962963,3854.3999999999996,0.00011586839051839586,0.20039066616012235,0.4444444444444444,,,,,
44,fixed_drl,0,20-200,10532,436.875,1565.0000000000002,0.00010293681892411162,0.19248494563829344,0.46875,,,,,
45,fixed_drl,0,20-200,9905,360.1136363636364,3336.75,0.0001246632770441162,0.18799760769788387,0.6590909090909091,,,,,
46,fixed_drl,0,20-200,10955,455.1290322580645,2374.55,0.00011819054877075057,0.18205735680830293,0.5483870967741935,,,,,
47,fixed_drl,0,20-200,10581,359.8125,2130.2999999999997,0.00010913136551001419,0.17802638167063473,0.65625,,,,,
48,fixed_drl,0,20-200,10434,344.7560975609756,2472.25,0.00010852140743130197,0.17399439332779326,0.34146341463414637,,,,,
49,fixed_drl,0,20-200,8658,488.2068965517241,3605.2,0.00010679571035628517,0.169013430666221,0.3448275862068966,,,,,
50,fixed_drl,0,20-200,9500,414.90697674418607,2607.9500000000003,0.00010911241649106766,0.16230701759245247,0.37209302325581395,,,,,
51,fixed_drl,0,20-200,10416,430.6666666666667,2603.2,0.00010745987189390387,0.15758017133626862,0.46153846153846156,,,,,
52,fixed_drl,0,20-200,11263,375.0,3144.25,0.00010901982750510797,0.153465306072744,0.5111111111111111,,,,,
53,fixed_drl,0,20-200,10351,491.4594594594595,2619.8,0.0001003053742654932,0.1489125720626342,0.2972972972972973,,,,,
54,fixed_drl,0,20-200,9863,358.9807692307692,2765.65,0.00011229799080562468,0.14531968518275407,0.5192307692307693,,,,,
55,fixed_drl,0,20-200,10428,416.62,3229.45,0.00010888191657916953,0.14048972872236487,0.54,,,,,
56,fixed_drl,0,20-200,10000,424.4347826086956,2191.8,0.00010243815874370436,0.1360764925758009,0.6086956521739131,,,,,
57,fixed_drl,0,20-200,9227,432.1489361702128,2429.45,0.00011127576241657759,0.13220666236808737,0.3191489361702128,,,,,
58,fixed_drl,0,20-200,11153,505.5806451612903,2645.35,9.499490988673642e-05,0.12843234056335878,0.3870967741935484,,,,,
59,fixed_drl,0,20-200,9502,357.9,2856.25,9.588751224024843e-05,0.12603823831535627,0.3,,,,,
60,fixed_drl,0,20-200,9399,532.1372549019608,3843.0499999999993,9.214984553788479e-05,0.1223298096727645,0.39215686274509803,,,,,
61,fixed_drl,0,20-200,11228,371.32608695652175,3680.9499999999994,9.478348996102189e-05,0.11873347537569812,0.34782608695652173,,,,,
62,fixed_drl,0,20-200,11339,372.8536585365854,2669.6499999999996,0.00011623249398932482,0.1156433531909939,0.3902439024390244,,,,,
63,fixed_drl,0,20-200,9658,454.47222222222223,2335.95,8.5100650418705e-05,0.11300640258016775,0.2222222222222222,,,,,
64,fixed_drl,0,20-200,10669,487.7692307692308,2871.8500000000004,0.00010166622572190438,0.11077851467624882,0.4358974358974359,,,,,
65,fixed_drl,0,20-200,10350,411.96078431372547,3656.5,0.00010264905237515147,0.10845377959074515,0.43137254901960786,,,,,
66,fixed_drl,0,20-200,9700,568.5862068965517,1741.55,8.688728363874058e-05,0.10554737995708881,0.41379310344827586,,,,,
67,fixed_drl,0,20-200,10893,452.38461538461536,1265.9,9.163848396080236e-05,0.10395963944829836,0.38461538461538464,,,,,
68,fixed_drl,0,20-200,10039,501.9024390243902,3179.1,9.621461504139006e-05,0.10257477013711361,0.36585365853658536,,,,,
69,fixed_drl,0,20-200,9725,662.4333333333333,2005.35,9.094697452383116e-05,0.10046279587791127,0.3333333333333333,,,,,
70,fixed_drl,0,20-200,11515,406.97435897435895,2786.4,9.71760770577627e-05,0.09897139487008905,0.41025641025641024,,,,,
71,fixed_drl,0,20-200,10180,421.04347826086956,3232.6000000000004,9.555127326166257e-05,0.09709827374419491,0.3695652173913043,,,,,
72,fixed_drl,0,20-200,10171,466.6,3084.7999999999997,8.455922943539917e-05,0.0949808277724513,0.425,,,,,
73,fixed_drl,0,20-200,11458,286.4,3180.2,9.723165567265823e-05,0.09321710428810073,0.35,,,,,
74,fixed_drl,0,20-200,10392,408.79487179487177,2985.8500000000004,8.936155791161582e-05,0.09152253739075177,0.5128205128205128,,,,,
75,fixed_drl,0,20-200,9399,482.0,2958.1,8.904825517674908e-05,0.08993432978111204,0.5714285714285714,,,,,
