episode,group,run,obss_duration,throughput,avg_option_duration,reward,avg_loss,epsilon,npca_ratio,throughput_weight,latency_penalty,npca_switch_bonus,npca_switch_cost,qos_priority
0,fixed_drl,1,20-200,11019,439.64864864864865,3122.6499999999996,0.0,0.9,0.6486486486486487,,,,,
1,fixed_drl,1,20-200,9713,384.6666666666667,3550.7,0.0,0.8691247150466955,0.6491228070175439,,,,,
2,fixed_drl,1,20-200,9943,388.34090909090907,2598.65,0.0007314780765833954,0.823740347904652,0.6363636363636364,,,,,
3,fixed_drl,1,20-200,10992,413.09302325581393,2875.85,0.0005537119189587733,0.7904338879839287,0.627906976744186,,,,,
4,fixed_drl,1,20-200,10420,456.6764705882353,2442.65,0.0005741209800665578,0.7592700548914212,0.5588235294117647,,,,,
5,fixed_drl,1,20-200,11177,401.20588235294116,2726.95,0.00053397372054557,0.7355602241507279,0.47058823529411764,,,,,
6,fixed_drl,1,20-200,9603,470.75757575757575,2293.25,0.000639220622057716,0.7126429773769953,0.48484848484848486,,,,,
7,fixed_drl,1,20-200,9090,441.89830508474574,4532.4,0.0005952209855119387,0.6911326318531257,0.4576271186440678,,,,,
8,fixed_drl,1,20-200,10282,478.7368421052632,3255.4,0.0005585742377055188,0.6544000719754482,0.4473684210526316,,,,,
9,fixed_drl,1,20-200,10691,424.35897435897436,2939.5,0.0005010649814115217,0.6318637707663365,0.5641025641025641,,,,,
10,fixed_drl,1,20-200,10640,400.6363636363636,3025.6000000000004,0.0005586153323141237,0.6096078941611032,0.36363636363636365,,,,,
11,fixed_drl,1,20-200,10674,409.74418604651163,3243.0499999999997,0.0004989831068087369,0.5855189889506255,0.6046511627906976,,,,,
12,fixed_drl,1,20-200,11906,385.35897435897436,2920.55,0.0006038935583395263,0.5629797391129845,0.4358974358974359,,,,,
13,fixed_drl,1,20-200,9953,461.15909090909093,2932.4500000000003,0.00038669789015936357,0.5433586278696311,0.6136363636363636,,,,,
14,fixed_drl,1,20-200,10035,481.0882352941176,2497.15,0.0005429593729786575,0.5221214913933155,0.5294117647058824,,,,,
15,fixed_drl,1,20-200,10581,407.0,2935.1,0.0004815556264171998,0.5063391803077406,0.5882352941176471,,,,,
16,fixed_drl,1,20-200,9703,425.8478260869565,2555.5499999999997,0.0005467532124991218,0.4910844481350993,0.45652173913043476,,,,,
17,fixed_drl,1,20-200,10640,446.5263157894737,2612.6000000000004,0.0005224097500710437,0.4712541568387537,0.4473684210526316,,,,,
18,fixed_drl,1,20-200,10441,424.7837837837838,2504.1499999999996,0.0005029729315234969,0.4555468281928792,0.43243243243243246,,,,,
19,fixed_drl,1,20-200,11704,388.4782608695652,1503.25,0.0004746474636097749,0.44081580009598037,0.5652173913043478,,,,,
20,fixed_drl,1,20-200,11137,415.0952380952381,2779.3,0.0006245708597513536,0.4319296194996383,0.47619047619047616,,,,,
21,fixed_drl,1,20-200,9857,390.811320754717,3476.3499999999995,0.00042350722166399163,0.4162207704437507,0.4339622641509434,,,,,
22,fixed_drl,1,20-200,10277,411.7368421052632,2544.7,0.000532568849545593,0.39731645884472117,0.4473684210526316,,,,,
23,fixed_drl,1,20-200,10425,460.3333333333333,3365.2500000000005,0.0005541511345654726,0.38436604951431874,0.5111111111111111,,,,,
24,fixed_drl,1,20-200,10697,350.02702702702703,2299.4500000000003,0.00041902456238555413,0.36965310134617035,0.40540540540540543,,,,,
25,fixed_drl,1,20-200,9357,403.40384615384613,3085.1499999999996,0.0005149860323096315,0.3580420653576168,0.46153846153846156,,,,,
26,fixed_drl,1,20-200,11445,370.8636363636364,2614.1000000000004,0.00045908276418534416,0.34243322484588967,0.5,,,,,
27,fixed_drl,1,20-200,10122,386.6,2888.15,0.000547288761784633,0.3298451318128794,0.6888888888888889,,,,,
28,fixed_drl,1,20-200,11612,348.6904761904762,2446.75,0.0005641197106645753,0.3175312413163646,0.5476190476190477,,,,,
29,fixed_drl,1,20-200,10216,406.57894736842104,1851.4999999999998,0.0005345567381785562,0.30652762265730693,0.5789473684210527,,,,,
30,fixed_drl,1,20-200,11263,340.0487804878049,2712.8999999999996,0.000512626429554075,0.2969624620282439,0.5853658536585366,,,,,
31,fixed_drl,1,20-200,11025,390.93333333333334,3304.4,0.0005421944078989327,0.2870417650583357,0.6888888888888889,,,,,
32,fixed_drl,1,20-200,9880,437.25581395348837,3048.8999999999996,0.0005246438086032867,0.27661133048504216,0.5813953488372093,,,,,
33,fixed_drl,1,20-200,10685,482.60526315789474,3141.0499999999997,0.0005410269368439913,0.267073574589866,0.42105263157894735,,,,,
34,fixed_drl,1,20-200,9578,463.2040816326531,2670.15,0.0005752403715935847,0.2589795393831751,0.40816326530612246,,,,,
35,fixed_drl,1,20-200,9809,373.0851063829787,2734.25,0.0004965572928388914,0.24898637389374484,0.5319148936170213,,,,,
36,fixed_drl,1,20-200,10240,417.4888888888889,3329.6500000000005,0.00045124948762046796,0.23985039162422755,0.5333333333333333,,,,,
37,fixed_drl,1,20-200,10475,432.1521739130435,3044.05,0.0005740773437234262,0.2314964963177894,0.5434782608695652,,,,,
