episode,group,run,obss_duration,throughput,avg_option_duration,reward,avg_loss,epsilon,npca_ratio,throughput_weight,latency_penalty,npca_switch_bonus,npca_switch_cost,qos_priority
0,balanced,0,20-200,11539,311.24,1468.9499999999998,0.0,0.9,0.56,,,,,
1,balanced,0,20-200,10079,450.05882352941177,3750.35,0.0,0.8790134252240828,0.45098039215686275,,,,,
2,balanced,0,20-200,9380,484.40425531914894,2668.65,0.0,0.837793775575475,0.48936170212765956,,,,,
3,balanced,0,20-200,10144,496.74285714285713,2972.7,0.011687157054742178,0.8016241131766978,0.45714285714285713,,,,,
4,balanced,0,20-200,9516,459.0444444444444,2972.1499999999996,0.009797939099371433,0.7757723146732095,0.35555555555555557,,,,,
5,balanced,0,20-200,11042,354.20512820512823,2305.3,0.009361003215114275,0.7438365052117685,0.358974358974359,,,,,
6,balanced,0,20-200,8932,477.8809523809524,2534.45,0.0088068845992287,0.7172977509190551,0.30952380952380953,,,,,
7,balanced,0,20-200,10616,456.2413793103448,2161.45,0.00693163617203633,0.6898516480002669,0.3448275862068966,,,,,
8,balanced,0,20-200,11088,400.9811320754717,3163.4,0.007027952155719201,0.6715624256835497,0.33962264150943394,,,,,
9,balanced,0,20-200,10100,461.17021276595744,3578.25,0.005680627965678771,0.6394773810282924,0.3191489361702128,,,,,
10,balanced,0,20-200,9382,484.2368421052632,2603.95,0.005728536130239566,0.6124129404036711,0.2894736842105263,,,,,
11,balanced,0,20-200,10528,354.92857142857144,4177.200000000001,0.004797344251225392,0.5914422158512852,0.30357142857142855,,,,,
12,balanced,0,20-200,11502,371.2857142857143,2915.25,0.004633089217046897,0.5619548049106056,0.14285714285714285,,,,,
13,balanced,0,20-200,11369,384.975,3203.05,0.0036987916100770235,0.5443463325007666,0.325,,,,,
14,balanced,0,20-200,10026,486.1860465116279,3719.7000000000003,0.003281314391642809,0.5249627355504194,0.18604651162790697,,,,,
15,balanced,0,20-200,10026,407.4390243902439,2746.75,0.0026813245688875518,0.5049722142411417,0.2926829268292683,,,,,
16,balanced,0,20-200,9698,506.6808510638298,3442.2999999999997,0.002549048668394486,0.48669558454549855,0.2127659574468085,,,,,
17,balanced,0,20-200,9415,520.0666666666667,2953.85,0.0024792643574376902,0.46664575379822065,0.2222222222222222,,,,,
18,balanced,0,20-200,9325,458.9423076923077,4059.75,0.002222733727345864,0.4483122914475527,0.2692307692307692,,,,,
19,balanced,0,20-200,8784,468.7391304347826,3080.9,0.001922816891844074,0.42812935628949994,0.21739130434782608,,,,,
20,balanced,0,20-200,10467,436.225,2723.5499999999997,0.0016148467548191547,0.41112940239263585,0.2,,,,,
21,balanced,0,20-200,9645,436.94444444444446,3547.25,0.0014389846085881193,0.39696931598623425,0.18518518518518517,,,,,
22,balanced,0,20-200,10948,513.3823529411765,2182.25,0.001249339625549813,0.378729869936326,0.20588235294117646,,,,,
23,balanced,0,20-200,10846,467.26666666666665,2269.1,0.0012138950017591317,0.3677409250036465,0.26666666666666666,,,,,
24,balanced,0,20-200,11054,447.51063829787233,3873.35,0.000997271699210008,0.35835026149536026,0.19148936170212766,,,,,
25,balanced,0,20-200,10888,463.53846153846155,2737.1000000000004,0.0007958129475203654,0.3441930985364187,0.10256410256410256,,,,,
26,balanced,0,20-200,9747,476.3404255319149,3843.6,0.0007958904995272557,0.3329404211433676,0.19148936170212766,,,,,
27,balanced,0,20-200,11369,397.1621621621622,2699.25,0.0006947227326842645,0.3199498900817992,0.21621621621621623,,,,,
28,balanced,0,20-200,9977,455.4634146341463,2631.3,0.0006334166585778197,0.3101442668119301,0.2682926829268293,,,,,
29,balanced,0,20-200,10051,397.16279069767444,3050.0999999999995,0.0005463136670490106,0.2996940452750029,0.09302325581395349,,,,,
30,balanced,0,20-200,10092,432.04761904761904,3604.7,0.0004650072563284387,0.2891847700008381,0.14285714285714285,,,,,
31,balanced,0,20-200,9994,498.6774193548387,1476.05,0.00047077877873865265,0.2793470479269838,0.0967741935483871,,,,,
32,balanced,0,20-200,11104,387.75,3029.95,0.00044319751517226297,0.27234636072230745,0.20454545454545456,,,,,
33,balanced,0,20-200,8922,492.6521739130435,2927.9,0.00036707161537682015,0.2627752298229417,0.2608695652173913,,,,,
34,balanced,0,20-200,10275,444.4166666666667,2588.0499999999997,0.00045737008137317997,0.25320927299568247,0.2777777777777778,,,,,
35,balanced,0,20-200,10170,422.325,2740.35,0.0003763494217613091,0.2460238527410472,0.55,,,,,
36,balanced,0,20-200,10506,413.475,2890.05,0.0003641254831260691,0.23833764753554837,0.35,,,,,
37,balanced,0,20-200,11098,478.6666666666667,3014.0,0.0003953604221654435,0.23095282274694745,0.3333333333333333,,,,,
38,balanced,0,20-200,8842,414.17241379310343,3746.9000000000005,0.0003278568619862199,0.22560485861777002,0.4827586206896552,,,,,
39,balanced,0,20-200,9938,439.0416666666667,3290.2999999999997,0.00028029741467131924,0.21570951560430512,0.5,,,,,
40,balanced,0,20-200,10110,476.45238095238096,3563.45,0.00037345382346150774,0.2079433381627102,0.47619047619047616,,,,,
41,balanced,0,20-200,10146,468.85714285714283,2827.3999999999996,0.00033128739839109284,0.20144709400696365,0.38095238095238093,,,,,
42,balanced,0,20-200,10011,409.70454545454544,3144.6500000000005,0.00031767609956053394,0.1952180417987977,0.5454545454545454,,,,,
43,balanced,0,20-200,9351,394.2549019607843,2908.65,0.00031583068387893337,0.18896697979584576,0.45098039215686275,,,,,
44,balanced,0,20-200,10176,371.7894736842105,3715.3999999999996,0.0003844037225159506,0.18205735680830293,0.543859649122807,,,,,
45,balanced,0,20-200,10906,353.9019607843137,3901.55,0.0004203334101475775,0.17474059605734182,0.6666666666666666,,,,,
46,balanced,0,20-200,9054,412.40677966101697,2920.4,0.00037377945651921135,0.16853832778279332,0.6440677966101694,,,,,
47,balanced,0,20-200,11539,363.425,2602.1499999999996,0.0003328369736361007,0.16174688400540235,0.55,,,,,
48,balanced,0,20-200,10733,386.2,3683.95,0.000312681154658397,0.15736522601057024,0.5636363636363636,,,,,
49,balanced,0,20-200,9607,356.39285714285717,3189.1000000000004,0.00037987139270020026,0.1516195918256738,0.5357142857142857,,,,,
50,balanced,0,20-200,10313,406.55555555555554,3202.25,0.0003995225900628914,0.1460853010443824,0.4222222222222222,1.3,0.075,0.12,0.02,balanced
51,balanced,0,20-200,10132,401.1842105263158,2206.75,0.00030378540395759046,0.14185730583960487,0.5,1.3,0.075,0.12,0.02,balanced
52,balanced,0,20-200,9476,412.27777777777777,3194.85,0.00031754287192597985,0.1384322170471884,0.5555555555555556,1.3,0.075,0.12,0.02,balanced
