episode,group,run,obss_duration,throughput,avg_option_duration,reward,avg_loss,epsilon,npca_ratio,throughput_weight,latency_penalty,npca_switch_bonus,npca_switch_cost,qos_priority
0,balanced,1,20-200,10724,387.8421052631579,2868.1000000000004,0.0,0.9,0.4473684210526316,,,,,
1,balanced,1,20-200,9290,455.0425531914894,3163.65,0.0,0.8683059997575197,0.44680851063829785,,,,,
2,balanced,1,20-200,10390,382.94736842105266,2282.4,0.0,0.8307354417412388,0.3684210526315789,,,,,
3,balanced,1,20-200,10283,469.43589743589746,2500.6,0.001946079273087283,0.8016241131766978,0.4358974358974359,,,,,
4,balanced,1,20-200,9512,466.68,2998.3,0.0014529325223217409,0.772875023859198,0.28,,,,,
5,balanced,1,20-200,11163,336.10526315789474,2756.4,0.0011669759793827932,0.7376199929315248,0.42105263157894735,,,,,
6,balanced,1,20-200,10372,479.8974358974359,2586.2,0.0009127922433738908,0.7119806656106942,0.3076923076923077,,,,,
7,balanced,1,20-200,10903,458.3333333333333,2269.75,0.0007740237633697689,0.6866603745922689,0.18181818181818182,,,,,
8,balanced,1,20-200,10158,417.3181818181818,3301.8999999999996,0.0006288219786559542,0.6659934617804175,0.3409090909090909,,,,,
9,balanced,1,20-200,10747,444.19354838709677,1604.4999999999998,0.0004925010919881364,0.6394773810282924,0.3870967741935484,,,,,
10,balanced,1,20-200,10497,468.55882352941177,2705.45,0.0004492040801172455,0.6214839217877587,0.23529411764705882,,,,,
11,balanced,1,20-200,10640,353.46153846153845,2879.7499999999995,0.0003589372499845922,0.6023800741585371,0.3076923076923077,,,,,
12,balanced,1,20-200,10241,393.25,4057.8999999999996,0.0002782481994169454,0.5812519280402957,0.44642857142857145,,,,,
13,balanced,1,20-200,9905,469.70454545454544,2711.65,0.000283814879367128,0.5523194889793283,0.29545454545454547,,,,,
14,balanced,1,20-200,10645,478.3333333333333,2462.25,0.00026058132061734796,0.5306966228946065,0.37037037037037035,,,,,
15,balanced,1,20-200,10397,423.64864864864865,2060.25,0.00024341496949394545,0.5178914616572502,0.35135135135135137,,,,,
16,balanced,1,20-200,10201,451.3695652173913,3749.8500000000004,0.000260176607601655,0.5008958355326787,0.391304347826087,,,,,
17,balanced,1,20-200,10235,423.1025641025641,2720.9500000000003,0.000256241347718363,0.48062444351075106,0.5128205128205128,,,,,
18,balanced,1,20-200,11827,278.1714285714286,2618.2,0.0002916880960886677,0.46415336392222445,0.5714285714285714,,,,,
19,balanced,1,20-200,11043,424.7631578947368,2653.95,0.00024715321584759903,0.449908731364591,0.5789473684210527,,,,,
20,balanced,1,20-200,9908,478.0285714285714,1983.4499999999998,0.00026288776522657525,0.43499731086007404,0.42857142857142855,,,,,
21,balanced,1,20-200,11470,504.0,2195.8,0.0002614907086050759,0.4217554886110855,0.46153846153846156,,,,,
22,balanced,1,20-200,10473,467.7142857142857,2771.5,0.00027677631199670333,0.4122144173084264,0.45714285714285713,,,,,
23,balanced,1,20-200,9310,416.85714285714283,3616.7999999999997,0.00023412267910316586,0.399756203199595,0.5714285714285714,,,,,
24,balanced,1,20-200,10639,484.75,2927.45,0.00023972390530010065,0.3807081781456509,0.5,,,,,
25,balanced,1,20-200,10016,416.7719298245614,4113.2,0.0002051107536923761,0.3690144340236896,0.49122807017543857,,,,,
26,balanced,1,20-200,9622,458.6470588235294,3327.4500000000003,0.00020835642741682628,0.35133914242109526,0.27450980392156865,,,,,
27,balanced,1,20-200,9885,439.6046511627907,2383.8500000000004,0.0002452894647528107,0.3363561596393,0.627906976744186,,,,,
28,balanced,1,20-200,11849,379.2121212121212,2411.3,0.00022917188956247023,0.32430382693433846,0.45454545454545453,,,,,
29,balanced,1,20-200,9961,397.72,3092.7,0.0002562846784712747,0.31539952960180895,0.52,,,,,
30,balanced,1,20-200,11343,448.0882352941176,2261.25,0.00019791790206606189,0.3024558418058889,0.5588235294117647,,,,,
31,balanced,1,20-200,11405,337.9166666666667,2194.75,0.00026546907611191273,0.2940166228688464,0.5,,,,,
32,balanced,1,20-200,10835,392.5348837209302,3152.05,0.0002331791135172049,0.28538826669896455,0.4883720930232558,,,,,
33,balanced,1,20-200,9128,488.18367346938777,3307.95,0.0002509611561739196,0.2754811017590741,0.42857142857142855,,,,,
34,balanced,1,20-200,9655,445.3488372093023,2141.5,0.0002342912145347024,0.2646988501986187,0.46511627906976744,,,,,
35,balanced,1,20-200,11397,353.6,2695.8,0.00022405578541414192,0.255662474039552,0.5,,,,,
