episode,method,run,obss_duration,throughput,avg_option_duration,reward,avg_loss,epsilon,npca_ratio,throughput_weight,latency_penalty,npca_switch_bonus,npca_switch_cost,qos_priority
76,Rule-based,2,100,17608,529.0,1554.55,0.0,,0.0,,,,,
77,Rule-based,2,100,17116,543.8,506.1,0.0,,0.0,,,,,
78,Rule-based,2,100,17217,644.8181818181819,650.7,0.0,,0.0,,,,,
79,Rule-based,2,100,17755,487.79487179487177,2562.7999999999997,0.0,,0.0,,,,,
80,Rule-based,2,100,16370,341.0,214.45,0.0,,0.0,,,,,
81,Rule-based,2,100,15528,577.6666666666666,1758.45,0.0,,0.0,,,,,
82,Rule-based,2,100,15252,587.3076923076923,2027.75,0.0,,0.0,,,,,
83,Rule-based,2,100,15900,512.8181818181819,1286.9,0.0,,0.0,,,,,
84,Rule-based,2,100,15260,652.2666666666667,1613.5999999999997,0.0,,0.0,,,,,
85,Rule-based,2,100,18712,785.1428571428571,703.4,0.0,,0.0,,,,,
86,Rule-based,2,100,17492,522.5454545454545,610.6,0.0,,0.0,,,,,
87,Rule-based,2,100,16945,536.3,653.8499999999999,0.0,,0.0,,,,,
88,Rule-based,2,100,16537,773.7307692307693,1817.15,0.0,,0.0,,,,,
89,Rule-based,2,100,16911,241.0,197.45,0.0,,0.0,,,,,
90,Rule-based,2,100,17601,430.0,933.0,0.0,,0.0,,,,,
91,Rule-based,2,100,16262,651.8333333333334,1917.7000000000003,0.0,,0.0,,,,,
92,Rule-based,2,100,17344,0.0,0.0,0.0,,0.0,,,,,
93,Rule-based,2,100,15694,1352.5,17.749999999999993,0.0,,0.0,,,,,
94,Rule-based,2,100,17393,567.7096774193549,2291.0499999999997,0.0,,0.0,,,,,
95,Rule-based,2,100,16292,725.6,455.20000000000005,0.0,,0.0,,,,,
96,Rule-based,2,100,16154,661.9,1017.0499999999998,0.0,,0.0,,,,,
97,Rule-based,2,100,15689,504.2,839.8,0.0,,0.0,,,,,
98,Rule-based,2,100,16924,1158.5,37.149999999999984,0.0,,0.0,,,,,
99,Rule-based,2,100,17579,584.0909090909091,596.75,0.0,,0.0,,,,,
100,Rule-based,2,100,16611,637.0952380952381,839.0499999999998,0.0,,0.0,,,,,
101,Rule-based,2,100,15949,783.68,1328.3999999999999,0.0,,0.0,,,,,
102,Rule-based,2,100,15931,0.0,0.0,0.0,,0.0,,,,,
103,Rule-based,2,100,16893,592.0,1483.1999999999998,0.0,,0.0,,,,,
104,Rule-based,2,100,16652,631.4615384615385,836.55,0.0,,0.0,,,,,
105,Rule-based,2,100,17670,740.8571428571429,1358.1000000000004,0.0,,0.0,,,,,
106,Rule-based,2,100,18822,543.1,615.4499999999999,0.0,,0.0,,,,,
107,Rule-based,2,100,17821,0.0,0.0,0.0,,0.0,,,,,
108,Rule-based,2,100,16503,0.0,0.0,0.0,,0.0,,,,,
109,Rule-based,2,100,16355,688.1,440.95,0.0,,0.0,,,,,
110,Rule-based,2,100,16656,755.5666666666667,2423.65,0.0,,0.0,,,,,
111,Rule-based,2,100,16100,1069.0,8.549999999999997,0.0,,0.0,,,,,
112,Rule-based,2,100,19598,0.0,0.0,0.0,,0.0,,,,,
113,Rule-based,2,100,16054,776.7619047619048,1166.3999999999999,0.0,,0.0,,,,,
114,Rule-based,2,100,16701,547.0,96.29999999999998,0.0,,0.0,,,,,
115,Rule-based,2,100,15368,591.4166666666666,1285.3,0.0,,0.0,,,,,
116,Rule-based,2,100,16914,783.1,699.4499999999998,0.0,,0.0,,,,,
117,Rule-based,2,100,16735,566.6818181818181,1201.65,0.0,,0.0,,,,,
118,Rule-based,2,100,16720,592.8461538461538,577.65,0.0,,0.0,,,,,
119,Rule-based,2,100,17094,676.609756097561,2561.95,0.0,,0.0,,,,,
120,Rule-based,2,100,16997,149.8,815.1000000000001,0.0,,0.0,,,,,
121,Rule-based,2,100,17503,783.0,702.3499999999999,0.0,,0.0,,,,,
122,Rule-based,2,100,15997,706.9166666666666,396.85,0.0,,0.0,,,,,
123,Rule-based,2,100,17845,551.2380952380952,1747.2000000000003,0.0,,0.0,,,,,
124,Rule-based,2,100,16598,534.1111111111111,1823.9499999999998,0.0,,0.0,,,,,
125,Rule-based,2,100,16878,931.8,864.1,0.0,,0.0,,,,,
126,Rule-based,2,100,17772,444.7,434.65,0.0,,0.0,,,,,
127,Rule-based,2,100,16660,489.05,2183.9,0.0,,0.0,,,,,
128,Rule-based,2,100,15413,826.7272727272727,482.3,0.0,,0.0,,,,,
129,Rule-based,2,100,15725,765.9,774.0500000000001,0.0,,0.0,,,,,
130,Rule-based,2,100,16041,598.0909090909091,773.05,0.0,,0.0,,,,,
131,Rule-based,2,100,15687,655.4634146341464,2531.2999999999997,0.0,,0.0,,,,,
132,Rule-based,2,100,17171,0.0,0.0,0.0,,0.0,,,,,
133,Rule-based,2,100,18019,530.5,591.75,0.0,,0.0,,,,,
134,Rule-based,2,100,15790,303.0,64.69999999999999,0.0,,0.0,,,,,
135,Rule-based,2,100,16819,678.1538461538462,765.2,0.0,,0.0,,,,,
136,Rule-based,2,100,16868,552.8,832.6000000000001,0.0,,0.0,,,,,
137,Rule-based,2,100,16871,590.1,699.9499999999999,0.0,,0.0,,,,,
138,Rule-based,2,100,17447,527.2,569.4000000000001,0.0,,0.0,,,,,
139,Rule-based,2,100,18207,0.0,0.0,0.0,,0.0,,,,,
140,Rule-based,2,100,17373,100.0,17.0,0.0,,0.0,,,,,
141,Rule-based,2,100,17621,375.8,559.1,0.0,,0.0,,,,,
142,Rule-based,2,100,16967,393.7631578947368,1153.85,0.0,,0.0,,,,,
143,Rule-based,2,100,16878,0.0,0.0,0.0,,0.0,,,,,
144,Rule-based,2,100,18814,763.0,46.85,0.0,,0.0,,,,,
145,Rule-based,2,100,18247,684.1,686.95,0.0,,0.0,,,,,
146,Rule-based,2,100,16365,657.5333333333333,1873.6999999999998,0.0,,0.0,,,,,
147,Rule-based,2,100,16371,461.05263157894734,1358.9999999999998,0.0,,0.0,,,,,
148,Rule-based,2,100,16860,0.0,0.0,0.0,,0.0,,,,,
149,Rule-based,2,100,18526,0.0,0.0,0.0,,0.0,,,,,
150,Rule-based,2,100,17978,462.06976744186045,2451.5499999999997,0.0,,0.0,,,,,
151,Rule-based,2,100,16795,532.0526315789474,1820.5500000000002,0.0,,0.0,,,,,
152,Rule-based,2,100,16660,609.3809523809524,1782.1500000000003,0.0,,0.0,,,,,
153,Rule-based,2,100,17464,390.3235294117647,1614.4499999999996,0.0,,0.0,,,,,
154,Rule-based,2,100,16205,683.1176470588235,1079.35,0.0,,0.0,,,,,
155,Rule-based,2,100,17676,489.8095238095238,2037.6999999999998,0.0,,0.0,,,,,
156,Rule-based,2,100,16613,562.3333333333334,840.25,0.0,,0.0,,,,,
157,Rule-based,2,100,16782,605.6923076923077,1013.3,0.0,,0.0,,,,,
158,Rule-based,2,100,17407,577.05,1506.9499999999998,0.0,,0.0,,,,,
159,Rule-based,2,100,16918,568.8409090909091,2485.5499999999997,0.0,,0.0,,,,,
160,Rule-based,2,100,17468,613.2727272727273,839.6999999999999,0.0,,0.0,,,,,
161,Rule-based,2,100,16691,0.0,0.0,0.0,,0.0,,,,,
162,Rule-based,2,100,17848,606.0571428571428,2323.3999999999996,0.0,,0.0,,,,,
163,Rule-based,2,100,15832,659.8181818181819,1662.2,0.0,,0.0,,,,,
164,Rule-based,2,100,17558,762.5,825.75,0.0,,0.0,,,,,
165,Rule-based,2,100,15569,100.0,16.0,0.0,,0.0,,,,,
166,Rule-based,2,100,17145,0.0,0.0,0.0,,0.0,,,,,
167,Rule-based,2,100,16949,2148.5,42.14999999999999,0.0,,0.0,,,,,
168,Rule-based,2,100,16730,888.5,763.7499999999999,0.0,,0.0,,,,,
169,Rule-based,2,100,15820,680.8064516129032,2381.75,0.0,,0.0,,,,,
170,Rule-based,2,100,17557,620.6666666666666,959.5,0.0,,0.0,,,,,
171,Rule-based,2,100,16153,823.9,1223.1,0.0,,0.0,,,,,
172,Rule-based,2,100,17000,576.9677419354839,1527.6999999999998,0.0,,0.0,,,,,
173,Rule-based,2,100,15564,596.6896551724138,1924.7999999999997,0.0,,0.0,,,,,
174,Rule-based,2,100,17301,748.9090909090909,783.0999999999999,0.0,,0.0,,,,,
175,Rule-based,2,100,16481,643.8571428571429,739.2999999999998,0.0,,0.0,,,,,
176,Rule-based,2,100,16518,896.1111111111111,906.7499999999999,0.0,,0.0,,,,,
177,Rule-based,2,100,16838,221.0,138.85,0.0,,0.0,,,,,
178,Rule-based,2,100,17788,615.4166666666666,616.75,0.0,,0.0,,,,,
179,Rule-based,2,100,16005,0.0,0.0,0.0,,0.0,,,,,
180,Rule-based,2,100,16822,587.5128205128206,2823.3500000000004,0.0,,0.0,,,,,
181,Rule-based,2,100,17280,0.0,0.0,0.0,,0.0,,,,,
182,Rule-based,2,100,16460,789.6,960.2,0.0,,0.0,,,,,
