episode,group,run,obss_duration,throughput,avg_option_duration,reward,avg_loss,epsilon,npca_ratio,throughput_weight,latency_penalty,npca_switch_bonus,npca_switch_cost,qos_priority
0,balanced,2,100,17887,1206.0,149.8,0.0,0.9,0.5,,,,,
1,balanced,2,100,17765,632.1904761904761,1679.2,0.0,0.8966067909423928,0.5238095238095238,,,,,
2,balanced,2,100,16783,501.0,580.4,0.0,0.8790134252240828,0.4166666666666667,,,,,
3,balanced,2,100,18643,674.1,763.95,0.0,0.8691247150466955,0.4,,,,,
4,balanced,2,100,16921,625.7,679.15,0.0,0.8609742879518154,0.9,,,,,
5,balanced,2,100,17032,471.6333333333333,2170.55,0.0,0.8529049589615448,0.4666666666666667,,,,,
6,balanced,2,100,15275,677.52,1486.1000000000001,0.0,0.8291755312881794,0.4,,,,,
7,balanced,2,100,16735,532.7666666666667,1750.85,0.005938700555513303,0.8099376188753037,0.4666666666666667,,,,,
8,balanced,2,100,15929,922.3333333333334,1684.5499999999997,0.004379705215493838,0.787478068013027,0.23809523809523808,,,,,
9,balanced,2,100,17657,462.5,767.7500000000001,0.003957088648652037,0.7721525101524017,0.1,,,,,
10,balanced,2,100,16864,541.6,506.20000000000005,0.0027314277831465006,0.7649669726179298,0.3,,,,,
11,balanced,2,100,16908,553.0909090909091,619.8,0.0026646341818074384,0.7578529323765273,0.5454545454545454,,,,,
12,balanced,2,100,17756,569.25,290.15,0.001955525716766715,0.7501092186282904,0.5,,,,,
13,balanced,2,100,16777,791.0,791.95,0.0014753442568083603,0.7473143751671564,0.2727272727272727,,,,,
14,balanced,2,100,17107,609.9090909090909,921.5500000000001,0.0010890016371073823,0.7396859502968998,0.36363636363636365,,,,,
15,balanced,2,100,18953,580.7777777777778,993.3,0.0008630309603177011,0.7321409782681068,0.2222222222222222,,,,,
16,balanced,2,100,17223,636.7291666666666,2408.85,0.0006382478556285301,0.7199722874297049,0.4583333333333333,,,,,
17,balanced,2,100,18220,0.0,0.0,0.0005581623894007256,0.6885732235548532,0.0,,,,,
18,balanced,2,100,16671,774.9047619047619,1517.35,0.0003439721476752311,0.6885732235548532,0.38095238095238093,,,,,
19,balanced,2,100,15358,682.6129032258065,2356.9500000000003,0.0002988837465333442,0.6753030107711654,0.2903225806451613,,,,,
20,balanced,2,100,16619,591.4615384615385,931.5499999999997,0.00022011070783870915,0.65621599471354,0.3076923076923077,,,,,
21,balanced,2,100,16971,331.27272727272725,427.8,0.00021035527849259475,0.6483861907772779,0.18181818181818182,,,,,
22,balanced,2,100,16576,622.0666666666667,774.4499999999999,0.00020358477680323025,0.6418400126655054,0.4666666666666667,,,,,
23,balanced,2,100,16990,758.36,1606.0500000000002,0.00022263150700988868,0.6330286628116172,0.48,,,,,
24,balanced,2,100,16899,705.0909090909091,638.2,0.0001998042231813694,0.6186336338367947,0.7272727272727273,,,,,
25,balanced,2,100,15681,595.5128205128206,1724.75,0.00020011147717013955,0.6124129404036711,0.48717948717948717,,,,,
26,balanced,2,100,16890,592.3157894736842,1310.3,0.00021468356135301292,0.5909010442663241,0.47368421052631576,,,,,
27,balanced,2,100,15781,757.0,771.8,0.00019493704409493753,0.5807209416496997,0.16666666666666666,,,,,
28,balanced,2,100,17055,564.8571428571429,1057.8999999999999,0.00019521339466640106,0.5743903498675154,0.5714285714285714,,,,,
29,balanced,2,100,19129,100.0,57.0,0.00020210157769421735,0.563492975427485,0.0,,,,,
30,balanced,2,100,14966,711.8636363636364,2992.9,0.00016882857501817247,0.5629797391129845,0.4772727272727273,,,,,
31,balanced,2,100,18589,179.0,483.40000000000003,0.0001928099615421767,0.5408979914476615,0.5,,,,,
32,balanced,2,100,17043,670.0,1371.0000000000002,0.00017644723023598394,0.5369864744454906,0.45454545454545453,,,,,
33,balanced,2,100,15464,675.9047619047619,1301.3000000000002,0.00016535450898421308,0.5263897632283169,0.5238095238095238,,,,,
34,balanced,2,100,17987,593.0,1389.0000000000002,0.00016793867689557374,0.5164898906799225,0.5,,,,,
35,balanced,2,100,15820,664.1428571428571,1176.6499999999999,0.00017871959425974637,0.5072527719554734,0.6666666666666666,,,,,
36,balanced,2,100,15861,653.4666666666667,1684.8,0.00014870576463484517,0.4977505859007538,0.43333333333333335,,,,,
37,balanced,2,100,17712,0.0,0.0,0.00017799145037618777,0.48451755623111414,0.0,,,,,
